library_id,book_id,quantity
0,0,0
0,1,2
0,2,7
0,3,6
0,4,3
0,5,8
0,6,0
0,7,6
0,8,5
0,9,6
0,10,3
0,11,9
0,12,4
0,13,9
0,14,5
0,15,5
0,16,8
0,17,10
0,18,6
0,19,6
0,20,5
0,21,8
0,22,4
0,23,0
0,24,6
0,25,4
0,26,8
0,27,4
0,28,5
0,29,9
0,30,1
0,31,7
0,32,5
0,33,0
0,34,8
0,35,1
0,36,5
0,37,9
0,38,2
0,39,1
0,40,8
0,41,0
0,42,8
0,43,1
0,44,4
0,45,8
0,46,3
0,47,10
0,48,5
0,49,1
0,50,3
0,51,1
0,52,4
0,53,9
0,54,9
0,55,2
0,56,0
0,57,0
0,58,1
0,59,3
0,60,10
0,61,4
0,62,9
0,63,5
0,64,7
0,65,3
0,66,10
0,67,5
0,68,9
0,69,4
0,70,0
0,71,7
0,72,4
0,73,3
0,74,7
0,75,1
0,76,5
0,77,3
0,78,4
0,79,4
0,80,4
0,81,0
0,82,2
0,83,4
0,84,2
0,85,1
0,86,8
0,87,0
0,88,4
0,89,4
0,90,8
0,91,3
0,92,8
0,93,1
0,94,3
0,95,6
0,96,0
0,97,2
0,98,1
0,99,2
0,100,10
0,101,8
0,102,7
0,103,3
0,104,7
0,105,8
0,106,7
0,107,0
0,108,8
0,109,3
0,110,8
0,111,6
0,112,9
0,113,4
0,114,10
0,115,8
0,116,6
0,117,1
0,118,10
0,119,1
0,120,3
0,121,4
0,122,1
0,123,4
0,124,7
0,125,6
0,126,8
0,127,8
0,128,2
0,129,3
0,130,7
0,131,5
0,132,3
0,133,3
0,134,1
0,135,3
0,136,1
0,137,5
0,138,9
0,139,3
0,140,3
0,141,10
0,142,5
0,143,7
0,144,7
0,145,7
0,146,5
0,147,8
0,148,10
0,149,3
0,150,7
0,151,10
0,152,6
0,153,3
0,154,8
0,155,1
0,156,10
0,157,3
0,158,4
0,159,0
0,160,2
0,161,6
0,162,10
0,163,10
0,164,4
0,165,2
0,166,6
0,167,10
0,168,7
0,169,7
0,170,5
0,171,10
0,172,5
0,173,2
0,174,3
0,175,6
0,176,4
0,177,2
0,178,5
0,179,8
0,180,4
0,181,1
0,182,5
0,183,6
0,184,4
0,185,3
0,186,5
0,187,5
0,188,7
0,189,0
0,190,0
0,191,3
0,192,6
0,193,2
0,194,8
0,195,0
0,196,3
0,197,4
0,198,2
0,199,9
1,0,5
1,1,0
1,2,6
1,3,0
1,4,2
1,5,2
1,6,9
1,7,5
1,8,9
1,9,1
1,10,1
1,11,4
1,12,4
1,13,7
1,14,2
1,15,10
1,16,5
1,17,6
1,18,2
1,19,5
1,20,4
1,21,9
1,22,10
1,23,3
1,24,8
1,25,2
1,26,7
1,27,0
1,28,2
1,29,3
1,30,5
1,31,10
1,32,8
1,33,0
1,34,4
1,35,0
1,36,0
1,37,7
1,38,4
1,39,2
1,40,6
1,41,0
1,42,7
1,43,1
1,44,10
1,45,7
1,46,2
1,47,0
1,48,8
1,49,5
1,50,0
1,51,2
1,52,3
1,53,3
1,54,3
1,55,1
1,56,3
1,57,1
1,58,6
1,59,5
1,60,10
1,61,0
1,62,5
1,63,6
1,64,3
1,65,6
1,66,5
1,67,0
1,68,4
1,69,9
1,70,8
1,71,10
1,72,9
1,73,8
1,74,2
1,75,4
1,76,8
1,77,5
1,78,9
1,79,10
1,80,10
1,81,9
1,82,6
1,83,9
1,84,2
1,85,3
1,86,9
1,87,6
1,88,7
1,89,10
1,90,4
1,91,4
1,92,5
1,93,10
1,94,9
1,95,1
1,96,10
1,97,7
1,98,2
1,99,7
1,100,2
1,101,4
1,102,8
1,103,0
1,104,3
1,105,8
1,106,10
1,107,10
1,108,5
1,109,3
1,110,9
1,111,1
1,112,2
1,113,10
1,114,2
1,115,5
1,116,7
1,117,3
1,118,7
1,119,10
1,120,6
1,121,6
1,122,5
1,123,8
1,124,10
1,125,1
1,126,0
1,127,0
1,128,9
1,129,1
1,130,6
1,131,5
1,132,6
1,133,4
1,134,10
1,135,5
1,136,10
1,137,3
1,138,8
1,139,7
1,140,0
1,141,6
1,142,4
1,143,4
1,144,3
1,145,7
1,146,3
1,147,3
1,148,3
1,149,9
1,150,1
1,151,4
1,152,1
1,153,0
1,154,8
1,155,9
1,156,4
1,157,1
1,158,4
1,159,1
1,160,2
1,161,8
1,162,8
1,163,10
1,164,3
1,165,6
1,166,8
1,167,2
1,168,10
1,169,4
1,170,0
1,171,9
1,172,0
1,173,8
1,174,6
1,175,9
1,176,3
1,177,3
1,178,5
1,179,0
1,180,3
1,181,7
1,182,3
1,183,0
1,184,8
1,185,3
1,186,1
1,187,2
1,188,7
1,189,5
1,190,0
1,191,0
1,192,8
1,193,9
1,194,1
1,195,7
1,196,1
1,197,3
1,198,9
1,199,3
2,0,2
2,1,10
2,2,6
2,3,5
2,4,1
2,5,6
2,6,2
2,7,10
2,8,0
2,9,9
2,10,5
2,11,10
2,12,0
2,13,0
2,14,9
2,15,6
2,16,9
2,17,6
2,18,10
2,19,4
2,20,10
2,21,6
2,22,5
2,23,1
2,24,0
2,25,10
2,26,9
2,27,7
2,28,7
2,29,9
2,30,0
2,31,6
2,32,5
2,33,9
2,34,5
2,35,2
2,36,9
2,37,8
2,38,0
2,39,1
2,40,4
2,41,6
2,42,9
2,43,10
2,44,6
2,45,2
2,46,10
2,47,7
2,48,3
2,49,9
2,50,7
2,51,10
2,52,6
2,53,3
2,54,8
2,55,2
2,56,0
2,57,9
2,58,5
2,59,4
2,60,1
2,61,5
2,62,2
2,63,1
2,64,8
2,65,4
2,66,10
2,67,0
2,68,7
2,69,8
2,70,3
2,71,6
2,72,9
2,73,7
2,74,1
2,75,1
2,76,10
2,77,3
2,78,2
2,79,2
2,80,10
2,81,2
2,82,7
2,83,0
2,84,4
2,85,2
2,86,8
2,87,6
2,88,2
2,89,5
2,90,7
2,91,10
2,92,8
2,93,2
2,94,1
2,95,10
2,96,3
2,97,8
2,98,0
2,99,10
2,100,4
2,101,7
2,102,1
2,103,9
2,104,8
2,105,8
2,106,10
2,107,3
2,108,5
2,109,9
2,110,9
2,111,2
2,112,7
2,113,9
2,114,8
2,115,1
2,116,0
2,117,6
2,118,5
2,119,1
2,120,0
2,121,8
2,122,2
2,123,8
2,124,2
2,125,6
2,126,4
2,127,2
2,128,5
2,129,2
2,130,0
2,131,0
2,132,8
2,133,8
2,134,2
2,135,6
2,136,4
2,137,2
2,138,8
2,139,9
2,140,10
2,141,7
2,142,5
2,143,7
2,144,5
2,145,7
2,146,0
2,147,9
2,148,10
2,149,0
2,150,10
2,151,1
2,152,8
2,153,3
2,154,7
2,155,5
2,156,6
2,157,6
2,158,5
2,159,7
2,160,3
2,161,3
2,162,5
2,163,5
2,164,5
2,165,0
2,166,1
2,167,1
2,168,5
2,169,8
2,170,1
2,171,4
2,172,7
2,173,9
2,174,1
2,175,7
2,176,6
2,177,1
2,178,7
2,179,4
2,180,8
2,181,5
2,182,3
2,183,1
2,184,0
2,185,9
2,186,7
2,187,6
2,188,8
2,189,2
2,190,10
2,191,1
2,192,2
2,193,4
2,194,9
2,195,0
2,196,2
2,197,6
2,198,9
2,199,7
3,0,4
3,1,6
3,2,7
3,3,1
3,4,0
3,5,6
3,6,6
3,7,10
3,8,6
3,9,5
3,10,5
3,11,1
3,12,8
3,13,1
3,14,10
3,15,3
3,16,0
3,17,9
3,18,0
3,19,3
3,20,8
3,21,8
3,22,0
3,23,8
3,24,7
3,25,2
3,26,10
3,27,9
3,28,7
3,29,6
3,30,8
3,31,10
3,32,4
3,33,4
3,34,0
3,35,2
3,36,1
3,37,3
3,38,0
3,39,3
3,40,6
3,41,8
3,42,0
3,43,4
3,44,1
3,45,7
3,46,6
3,47,1
3,48,2
3,49,1
3,50,5
3,51,6
3,52,2
3,53,7
3,54,6
3,55,10
3,56,6
3,57,10
3,58,0
3,59,6
3,60,0
3,61,5
3,62,9
3,63,9
3,64,8
3,65,10
3,66,5
3,67,4
3,68,1
3,69,5
3,70,3
3,71,4
3,72,0
3,73,6
3,74,10
3,75,6
3,76,3
3,77,7
3,78,7
3,79,2
3,80,3
3,81,0
3,82,3
3,83,9
3,84,10
3,85,3
3,86,1
3,87,10
3,88,7
3,89,4
3,90,5
3,91,10
3,92,9
3,93,0
3,94,8
3,95,3
3,96,7
3,97,3
3,98,10
3,99,7
3,100,0
3,101,9
3,102,4
3,103,7
3,104,5
3,105,4
3,106,1
3,107,0
3,108,8
3,109,7
3,110,5
3,111,7
3,112,10
3,113,9
3,114,5
3,115,9
3,116,9
3,117,9
3,118,9
3,119,2
3,120,0
3,121,6
3,122,0
3,123,9
3,124,5
3,125,2
3,126,5
3,127,1
3,128,5
3,129,1
3,130,7
3,131,9
3,132,9
3,133,3
3,134,7
3,135,8
3,136,4
3,137,7
3,138,4
3,139,6
3,140,2
3,141,10
3,142,1
3,143,8
3,144,9
3,145,1
